Function,Parameters,Start Line,End Line,Direct Callers,Direct Dependencies,Services,Destructive/Write Ops,Public Naming,Reachability,Risk Hint
shouldRefreshTemplateMetadataOnly_,"sheet, sheetDef, templateExisted, signatureMatches",4389,4399,,,,,Private/helper,No static path,Low
buildTemplateRefreshDecisionMessage_,"sheetDef, templateExisted, signatureMatches, metadataRefreshAllowed, normalizedStoredSignature, normalizedExpectedSignature",4400,4417,createOrRefreshTemplateFromDashboard_,,,,Private/helper,Reachable,Low
refreshTemplateMetadataOnly_,"sheet, dashboard, sheetDef, colCount, expectedSignature, timing",4418,4430,createOrRefreshTemplateFromDashboard_,applyGovernedTextAndNumberFormats_; getHeadersForSheetType_; markFrameworkStep_; resolveTemplateRowCount_; storeTemplateFormatSignature_; writeTemplateMetadata_,,,Private/helper,Reachable,Low
buildTemplateFromDashboardSafely_,"existingSheet, dashboard, sheetDef, headers, rowCount, colCount, behavior, expectedSignature, timing, templateExisted",4431,4459,createOrRefreshTemplateFromDashboard_,buildTemplateFromDashboard_; deleteSheetIfExists_; getTemplateBuildSheetName_; logBestEffortWarning_; markFrameworkStep_; promoteStagedTemplateBuild_; storeTemplateFormatSignature_; validateBuiltTemplateMinimumStructure_,SpreadsheetApp,insertSheet,Private/helper,Reachable,High
getTemplateBuildSheetName_,templateName,4460,4463,buildTemplateFromDashboardSafely_,,,,Private/helper,Reachable,Low
promoteStagedTemplateBuild_,"ss, buildSheet, existingSheet, sheetDef, timing",4464,4475,buildTemplateFromDashboardSafely_,hideSheetIfNeeded_; markFrameworkStep_,,deleteSheet,Private/helper,Reachable,High
validateBuiltTemplateMinimumStructure_,"sheet, dashboard, sheetDef, headers, colCount",4476,4493,buildTemplateFromDashboardSafely_,,,,Private/helper,Reachable,Low
buildTemplateFromDashboard_,"sheet, dashboard, sheetDef, headers, rowCount, colCount, behavior, expectedSignature, timing, templateExisted",4494,4543,buildTemplateFromDashboardSafely_; createOrRefreshTemplateFromDashboard_,applyGovernedTextAndNumberFormats_; applyTemplateBaseFormatting_; applyTemplateFreezeAndTabColor_; clearTemplateForFullBuild_; enforceTemplateDateAndNumberFormats_; getHeadersForSheetType_; hideTemplateIfNeeded_; markFrameworkStep_; resizeSheetGrid_; storeTemplateFormatSignature_; writeTemplateMetadata_,,,Private/helper,Reachable,Low
shouldSkipTemplateResize_,sheetDef,4544,4548,,,,,Private/helper,No static path,Low
ensureSheetMinimumColumns_,"sheet, colCount",4549,4556,buildMasterListHeadersBeforeDataCopy_; ensureHeaders_,,,,Private/helper,Reachable,Low
clearTemplateForFullBuild_,"sheet, sheetDef, timing, templateExisted",4557,4582,buildTemplateFromDashboard_,logBestEffortWarning_; markFrameworkStep_,,clearContent; clearFormat,Private/helper,Reachable,High
applyTemplateRowHeights_,"sheet, dashboard, sheetDef, rowCount, timing, stepPrefix",4583,4588,applyTemplateBaseFormatting_,markFrameworkStep_,,,Private/helper,Reachable,Low
applyFinalRowHeightLockForSheetType_,"sheet, sheetType",4589,4592,,lockFinalOutputRowHeights_,,,Private/helper,No static path,Low
lockFinalOutputRowHeights_,"sheet, label",4593,4620,appendDisenrolledDeltasToExclusionSheet_; applyFinalRowHeightLockForSheetType_; applyFinalRowHeightLock_; createMasterList; enforceDemoPPostFlattenFormatting_; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyDashboardSheetFromSource_; formatMonthlyRawDataSheetFromSource_; formatRawData; processDemoP,applyRowHeightRuns_; loadDashboardConfig_; logBestEffortWarning_; safeSetRowHeights_; shouldLockExpandedDataRowHeights_,,,Private/helper,Reachable,Low
shouldLockExpandedDataRowHeights_,"sheet, label",4621,4629,lockFinalOutputRowHeights_,,,,Private/helper,Reachable,Low
applyGlobalDefaultRowHeightsToSheet_,"sheet, label",4630,4640,createIndexSheet,loadDashboardConfig_; logBestEffortWarning_; safeSetRowHeights_,,,Private/helper,Reachable,Low
safeSetRowHeights_,"sheet, startRow, count, height, label",4641,4673,applyGlobalDefaultRowHeightsToSheet_; applyMonthlyChangeSpacerRow3Format_; applyRowHeightRuns_; ensureGoldenMasterTemplate_; lockFinalOutputRowHeights_; rebuildProductionMonthlyChangeTemplate,logBestEffortWarning_,,,Private/helper,Reachable,Low
applyRowHeightRuns_,"sheet, runs",4674,4680,lockFinalOutputRowHeights_,safeSetRowHeights_,,,Private/helper,Reachable,Low
hideTemplateIfNeeded_,"sheet, sheetDef, timing",4681,4695,buildTemplateFromDashboard_,hideSheetIfNeeded_; logBestEffortWarning_; markFrameworkStep_,,,Private/helper,Reachable,Low
resolveTemplateRowCount_,"sheetDef, globals",4696,4719,applyDashboardTemplateFormattingToActiveReportSheet_; createDisenrolledExclusionSheetFromDashboardTemplate_; createOrRefreshTemplateFromDashboard_; refreshTemplateMetadataOnly_; repairAllTemplateDateFormats; trimOutputSheetToDataSize_; validateTemplateFromDashboard_,numberOrDefault_,,,Private/helper,Reachable,Low
applyTemplateBaseFormatting_,"sheet, dashboard, sheetDef, headers, rowCount, colCount, behavior, timing",4720,4768,applyDashboardTemplateFormattingToActiveReportSheet_; buildTemplateFromDashboard_,applyColumnWidths_; applyDataRows_; applyGovernedTextAndNumberFormats_; applyHeaderRow_; applyHiddenColumnSettings_; applyTemplateRowHeights_; applyTitleRows_; ensureTemplateFilter_; getGlobalBorderStyle_; getThemeColorsFromBase_; markFrameworkStep_; toWrapStrategy_,,,Private/helper,Reachable,Low
ensureTitleRowConfig_,"config, rowNumber, globals",4769,4781,applyTitleRows_,normalizeTitleTargetCell_; parseTitleRowConfigRow_,,,Private/helper,Reachable,Low
applyTitleRows_,"sheet, dashboard, sheetDef, theme, colCount",4782,4834,applyTemplateBaseFormatting_,ensureTitleRowConfig_; getThemeFillForTitleRow_; getTitleRowConfigForSheet_; logBestEffortWarning_; toWrapStrategy_,SpreadsheetApp,setValue,Private/helper,Reachable,High
rowColToA1_,"row, col",4835,4845,applyGovernedTextAndNumberFormats_; applyHeaderRow_; createIndexSheet; writeDashboardDefaultsFast_,,,,Private/helper,Reachable,Low
applyHeaderRow_,"sheet, dashboard, sheetDef, headers, theme, colCount",4846,4886,applyTemplateBaseFormatting_,getThemeFillForTitleRow_; getTitleRowConfigForSheet_; logBestEffortWarning_; rowColToA1_; toWrapStrategy_,,setValues,Private/helper,Reachable,High
applyColumnWidths_,"sheet, dashboard, headers",4887,4897,applyTemplateBaseFormatting_; applyUniversalFastCanvasFormatting_; createMasterListSheetFromTemplate_; enforceDemoPPostFlattenFormatting_; formatMonthlyChangeReportSectionSheet_,applyColumnWidthsInRuns_,,,Private/helper,Reachable,Low
applyColumnWidthsInRuns_,"sheet, widths",4898,4933,applyColumnWidths_,logBestEffortWarning_,,,Private/helper,Reachable,Low
applyDateAndNumberFormats_,"sheet, dashboard, headers, rowCount",4934,4937,,enforceDateAndNumberFormatsForHeaders_,,,Private/helper,No static path,Low
enforceTemplateDateAndNumberFormats_,"sheet, dashboard, sheetDef, rowCount",4938,4942,buildTemplateFromDashboard_; repairAllTemplateDateFormats,enforceDateAndNumberFormatsForHeaders_; getHeadersForSheetType_,,,Private/helper,Reachable,Low
enforceDateAndNumberFormatsForHeaders_,"sheet, dashboard, headers, rowCount, logPrefix",4943,4999,applyDateAndNumberFormats_; enforceTemplateDateAndNumberFormats_,columnLetter_; getExpectedNumberFormat_; getGoogleSheetsNumberFormat_,,,Private/helper,Reachable,Low
columnLetter_,columnNumber,4951,4962,enforceDateAndNumberFormatsForHeaders_,,,,Private/helper,Reachable,Low
getExpectedNumberFormat_,"columnDef, globals",5000,5006,enforceDateAndNumberFormatsForHeaders_; validateTemplateFromDashboard_,,,,Private/helper,Reachable,Low
getGoogleSheetsNumberFormat_,"format, isDateColumn",5007,5025,enforceDateAndNumberFormatsForHeaders_; validateTemplateFromDashboard_,isDateFormatText_,,,Private/helper,Reachable,Low
isDateFormatText_,format,5026,5030,getGoogleSheetsNumberFormat_,,,,Private/helper,Reachable,Low
applyHiddenColumnSettings_,"sheet, dashboard, headers",5031,5040,applyTemplateBaseFormatting_; applyUniversalFastCanvasFormatting_; enforceDemoPPostFlattenFormatting_; formatMonthlyChangeReportSectionSheet_,applyHiddenColumnSettingsInRuns_,,,Private/helper,Reachable,Low
applyHiddenColumnSettingsInRuns_,"sheet, hiddenFlags",5041,5076,applyHiddenColumnSettings_,,,,Private/helper,Reachable,Low
applyDataRows_,"sheet, dashboard, sheetDef, headers, rowCount, colCount, behavior, timing",5077,5102,applyTemplateBaseFormatting_,applyAlternatingColorRules_; getThemeColorsFromBase_; markFrameworkStep_,SpreadsheetApp,,Private/helper,Reachable,Medium
applyAlternatingColorRules_,"sheet, range, theme",5103,5129,applyDataRows_; applyGovernedAlternatingColorsIfEnabled_,logBestEffortWarning_,SpreadsheetApp,,Private/helper,Reachable,Medium
applyMonthlyChangeSpacerRow3Format_,"sheet, spacerRow, colCount, globals",5130,5159,formatMonthlyChangeSubsectionBlock_,logBestEffortWarning_; safeSetRowHeights_,,clearContent; copyTo,Private/helper,Reachable,High
formatMonthlyChangeSubsectionBlock_,"sheet, titleRow, label, colCount, dashboard, sheetDef, writeLabel",5160,5205,formatMonthlyChangeSubsectionBlock,applyMonthlyChangeSpacerRow3Format_; getHeadersForSheetType_; getThemeColorsFromBase_,SpreadsheetApp,setValue; setValues,Private/helper,Reachable,High
writeTemplateMetadata_,"sheet, dashboard, sheetDef, colCount, signature",5206,5223,buildTemplateFromDashboard_; refreshTemplateMetadataOnly_,logBestEffortWarning_,,,Private/helper,Reachable,Low
buildTemplateFormatSignature_,"dashboard, sheetDef, headers, rowCount, colCount, behavior",5224,5256,createOrRefreshTemplateFromDashboard_; validateTemplateFromDashboard_,boolText_; compactTemplateFormatSignature_; normalizeHeader_,,,Private/helper,Reachable,Low
compactTemplateFormatSignature_,signature,5257,5270,buildTemplateFormatSignature_,computeStableHash_,,,Private/helper,Reachable,Low
normalizeTemplateFormatSignature_,signature,5271,5279,createOrRefreshTemplateFromDashboard_; validateTemplateFromDashboard_,,,,Private/helper,Reachable,Low
getTemplateFormatSignatureKey_,sheetDef,5280,5285,getStoredTemplateFormatSignature_; storeTemplateFormatSignature_,,,,Private/helper,Reachable,Low
getStoredTemplateFormatSignature_,sheetDef,5286,5294,createOrRefreshTemplateFromDashboard_; validateTemplateFromDashboard_,getTemplateFormatSignatureKey_; logBestEffortWarning_,PropertiesService,,Private/helper,Reachable,Medium
getStoredTemplateFormatSignatureFromSheet_,sheet,5295,5314,createOrRefreshTemplateFromDashboard_; validateTemplateFromDashboard_,logBestEffortWarning_,,,Private/helper,Reachable,Low
storeTemplateFormatSignature_,"sheetDef, signature",5315,5322,buildTemplateFromDashboardSafely_; buildTemplateFromDashboard_; refreshTemplateMetadataOnly_,getTemplateFormatSignatureKey_; logBestEffortWarning_,PropertiesService,,Private/helper,Reachable,Medium
ensureTemplateFilter_,"sheet, headerRow, rowCount, colCount, sheetDef, timing",5323,5371,applyTemplateBaseFormatting_,logBestEffortWarning_; markFrameworkStep_,,createFilter,Private/helper,Reachable,High
applyTemplateFreezeAndTabColor_,"sheet, dashboard, sheetDef, colCount, timing",5372,5409,applyDashboardTemplateFormattingToActiveReportSheet_; buildTemplateFromDashboard_,getThemeColorsFromBase_; logBestEffortWarning_; markFrameworkStep_,,,Private/helper,Reachable,Low
resizeSheet_,"sheet, rowCount, colCount, options",5410,5434,,,,deleteColumns; deleteRows,Private/helper,No static path,High
resizeSheetGrid_,"sheet, rowCount, colCount, options",5435,5467,applyDashboardTemplateFormattingToActiveReportSheet_; buildMonthlyChangeReportSectionLayout_; buildTemplateFromDashboard_; createActiveDemoPFromRawData_; createDisenrolledExclusionSheetFromDashboardTemplate_; createIndexSheet; createMasterListSheetFromTemplate_; createOutputSheetFromDashboardTemplate_; createRawDataOutputSheetFromTemplateFast_; ensureGoldenMasterTemplate_; populateMonthlyChangeReportSections_; rebuildProductionMonthlyChangeTemplate; resizeSheetColumns_; resizeSheetRows_,clearSheetDimensionCacheForSheet_; getSheetDimensions_,,deleteColumns; deleteRows,Private/helper,Reachable,High
resizeSheetRows_,"sheet, rowCount",5468,5472,,getSheetDimensions_; resizeSheetGrid_,,,Private/helper,No static path,Low
resizeSheetColumns_,"sheet, colCount",5473,5476,,getSheetDimensions_; resizeSheetGrid_,,,Private/helper,No static path,Low
getHeadersForSheetType_,"dashboard, sheetType",5477,5484,appendDisenrolledDeltasToExclusionSheet_; applyDashboardTemplateFormattingToActiveReportSheet_; applyDemoPTemplateToSheet_; buildMasterListHeadersBeforeDataCopy_; buildTemplateFromDashboard_; createActiveDemoPFromRawData_; createDisenrolledExclusionSheetFromDashboardTemplate_; createMasterListSheetFromTemplate_; createOrRefreshTemplateFromDashboard_; createOutputSheetFromDashboardTemplate_; createRawDataOutputSheetFromTemplateFast_; enforceDemoPPostFlattenFormatting_; enforceDemoPStrictDashboardSchema_; enforceTemplateDateAndNumberFormats_; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyChangeSubsectionBlock_; formatMonthlyDashboardSheetFromSource_; formatMonthlyRawDataSheetFromSource_; formatRawData; rebuildProductionMonthlyChangeTemplate; refreshTemplateMetadataOnly_; updateExistingDemoPFromRawData_; validateTemplateFromDashboard_,normalizeDashboardSheetTypeKey_,,,Private/helper,Reachable,Low
getDefaultBehavior_,,5485,5494,getBehaviorForSheetType_,,,,Private/helper,Reachable,Low
showSheetIfNeeded_,"sheet, timing, stepName",5495,5506,applyOutputVisibilityPolicy_; initializeDashboardQualitySheet_; initializeFrameworkTimingSheet_; restorePreviouslyHiddenSheets_; setReportTemplateVisibility_; setupReportFormattingDashboardFromScriptDefaults_,logBestEffortWarning_; markFrameworkStep_,,,Private/helper,Reachable,Low
hideSheetIfNeeded_,"sheet, timing, stepName",5507,5518,applyOutputVisibilityPolicy_; archiveRawDataSheet_; autoHidePreviousMonthSheetsAfterWorkflow_; copySheetToArchiveAndDeleteLocal_; ensureGoldenMasterTemplate_; hideTemplateIfNeeded_; promoteStagedTemplateBuild_; restorePreviouslyHiddenSheets_; setReportTemplateVisibility_,logBestEffortWarning_; markFrameworkStep_,,,Private/helper,Reachable,Low
formatMonthlySheets,,5519,5559,,buildPromptedMonthContext_; formatMonthlyBannerSheet_; formatMonthlyDashboardSheetFromSource_; formatMonthlyRawDataSheetFromSource_; logBestEffortWarning_; markFrameworkStep_; notify_; promptForLockedYearReportMonth_; runFrameworkTimed_,SpreadsheetApp,,Public,Reachable,Medium
buildPromptedMonthContext_,monthParts,5560,5568,archiveMonthlyActiveSheets; archiveMonthlyImportSheets; formatMonthlySheets; hideMonthlyActiveSheets; hideMonthlyImportSheets,,Session; Utilities,,Private/helper,Reachable,Medium
formatMonthlyBannerSheet_,"rawSheet, parsedMonth, timing",5569,5590,formatMonthlySheets,applyOutputVisibilityPolicy_; archiveRawSourceAndDeleteLocal_; buildBannerReportOutputName_; copyRawBannerDataToOutput_; deleteSheetIfExists_; getSheetDefinitionByType_; loadDashboardConfig_; writeBannerReportDates_,SpreadsheetApp,copyTo,Private/helper,Reachable,High
formatMonthlyDashboardSheetFromSource_,"sourceSheet, sheetType, monthParts, startDateCellA1, endDateCellA1, timing",5591,5624,formatMonthlySheets,applyOutputVisibilityPolicy_; archiveRawSourceAndDeleteLocal_; buildDashboardOutputSheetName_; buildRawArchiveNameForSheetType_; clearSheetRuntimeCachesForSheet_; coerceToValidDate_; collectAndClearMovedTitleInfoCells_; createOutputSheetFromDashboardTemplate_; deleteSheetIfExists_; getDataValues_; getHeadersForSheetType_; getSheetDefinitionByType_; loadDashboardConfig_; lockFinalOutputRowHeights_; mapRowsToHeaders_; markFrameworkStep_; prepareCarePlanSourceSheetForDashboardFormat_,SpreadsheetApp,setValue,Private/helper,Reachable,High
formatMonthlyRawDataSheetFromSource_,"sourceSheet, monthParts, timing",5625,5652,formatMonthlySheets,applyOutputVisibilityPolicy_; buildRawDataSheetName_; clearSheetRuntimeCachesForSheet_; createRawDataOutputSheetFromTemplateFast_; deleteSheetIfExists_; getHeadersForSheetType_; getRawDataSourceDataForOutput_; getSheetDefinitionByType_; loadDashboardConfig_; lockFinalOutputRowHeights_; mapRowsToHeaders_; markFrameworkStep_; processRawDataApprovedSyncColumns_; syncRawDataBannerColumns_,SpreadsheetApp,deleteSheet,Private/helper,Reachable,High
formatBannerReport,,5653,5720,,applyOutputVisibilityPolicy_; archiveRawSourceAndDeleteLocal_; buildBannerReportOutputName_; copyRawBannerDataToOutput_; deleteSheetIfExists_; formatReportDateLabel_; getSheetDefinitionByType_; loadDashboardConfig_; markFrameworkStep_; promptForLockedYearReportMonth_; runFrameworkTimed_; writeBannerReportDates_,Session; SpreadsheetApp; Utilities,copyTo,Public,Reachable,High
validateActiveBannerFormatterOutput,,5721,5742,,markFrameworkStep_; runFrameworkTimed_; validateBannerFormatterOutput_,SpreadsheetApp,,Public,Reachable,Medium
archiveActiveRawDataSheet,,5743,5760,,archiveRawDataSheet_; markFrameworkStep_; runFrameworkTimed_,SpreadsheetApp,,Public,Reachable,Medium
parseReportMonthInput_,value,5761,5793,promptForLockedYearReportMonth_,,,,Private/helper,Reachable,Low
promptForLockedYearReportMonth_,processTitle,5794,5837,archiveMonthlyActiveSheets; archiveMonthlyImportSheets; buildDemoPFromScratch; buildMonthlyChangeReport; createDisenrolledList; createMasterList; formatBannerReport; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlySheets; formatRawData; hideMonthlyActiveSheets; hideMonthlyImportSheets; processDemoP; runMonthlyUpdate; updateDemoPMonthlySync; updateMasterList,coerceToValidDate_; createLocalDateOnly_; getMonthDateParts_; notify_; parseReportMonthInput_,SpreadsheetApp,,Private/helper,Reachable,Medium
boolText_,value,5838,5841,buildTemplateFormatSignature_,,,,Private/helper,Reachable,Low
isPrimaryPMRRowValue_,value,5842,5846,assignPrimaryPMRRows_; buildOutputRows_; copyPrimaryDemoPRowsToMasterListByHeader_; flattenDemoPContactRowsInMemory_; flattenDemoPContactsToPrimaryRows_; shouldProcessRowByPMR_; syncRawDataBannerColumns_,,,,Private/helper,Reachable,Low
assignPrimaryPMRRows_,sheet,5847,5874,prepareMasterListSortOrderBeforeFormatting_; processMasterListSingleDataPass_,assignPrimaryPMRRowsInData_; ensurePrimaryPMRRowColumn_; getDataValues_; getPMRIndex_; isPrimaryPMRRowValue_; normalizePMR_,SpreadsheetApp,setValues,Private/helper,Reachable,High
getCurrentBannersSheet_,monthParts,5875,5886,syncBannerSourceIntoData_; syncMasterListFromBanners_; syncRawDataBannerColumns_,getMonthlySheetByPrefixAndDate_; getNewestFormattedMonthlySheetByPrefix_,SpreadsheetApp,,Private/helper,Reachable,Medium
getCurrentUnlockedCarePlanSheet_,monthParts,5887,5895,syncMasterListFromUnlockedCarePlan_; syncUnlockedCarePlanSourceIntoData_,getMonthlySheetByPrefixAndDate_; getNewestFormattedMonthlySheetByPrefix_,SpreadsheetApp,,Private/helper,Reachable,Medium
getCurrentCarePlanDueSheet_,monthParts,5896,5907,syncCarePlanDueSourceIntoData_; syncMasterListFromCarePlanDue_,getMonthlySheetByPrefixAndDate_; getNewestFormattedMonthlySheetByPrefix_,SpreadsheetApp,,Private/helper,Reachable,Medium
getPreviousMasterListSheet_,monthParts,5908,5913,updateMasterListForMonth_,getMonthlySheetByPrefixAndDate_,SpreadsheetApp,,Private/helper,Reachable,Medium
getCurrentMasterListSheet_,monthParts,5914,5919,,getMonthlySheetByPrefixAndDate_,SpreadsheetApp,,Private/helper,No static path,Medium
applyStandardFormatting_,"sheet, options",5920,5962,applyDemoPTemplateFormatting_; applyStandardFormattingAfterHeadersAndData_,forceStandardTitleCellAlignment_; getSheetDefinitionByType_; getSheetTypeForOrganization_; getThemeColorsFromBase_; loadDashboardConfig_; logBestEffortWarning_; normalizeDashboardSheetTypeKey_,SpreadsheetApp,setValue,Private/helper,No static path,High
applyStandardFormattingAfterHeadersAndData_,"sheet, sheetType, title, startDate, endDate, titleInfoText",5963,5972,applyDisenrolledExclusionCreateFormattingOnly_,applyStandardFormatting_,,,Private/helper,No static path,Low
forceStandardTitleCellAlignment_,sheet,5973,5981,applyDisenrolledExclusionCreateFormattingOnly_; applyStandardFormatting_,logBestEffortWarning_,,,Private/helper,No static path,Low
captureHiddenSheetNames_,,5982,5990,updateMasterListForMonth_,,SpreadsheetApp,,Private/helper,Reachable,Medium
restorePreviouslyHiddenSheets_,"hiddenNames, sheetToKeepVisible",5991,6007,updateMasterListForMonth_,hideSheetIfNeeded_; logBestEffortWarning_; showSheetIfNeeded_,SpreadsheetApp,,Private/helper,Reachable,Medium
finalizeWorkflowAfterCreateOrUpdate_,,6008,6015,updateMasterListForMonth_,createIndexSheet; logBestEffortWarning_,,,Private/helper,Reachable,Low
hidePreviousMonthSheets_,monthParts,6016,6019,updateMasterListForMonth_,autoHidePreviousMonthSheetsAfterWorkflow_,,,Private/helper,Reachable,Low
autoHidePreviousMonthSheetsAfterWorkflow_,monthParts,6020,6034,hidePreviousMonthSheets_; updateMasterListForMonth_,extractFirstDateFromSheetName_; hideSheetIfNeeded_; logBestEffortWarning_,SpreadsheetApp,,Private/helper,Reachable,Medium
applyIndexSheetRowFills_,sheet,6035,6055,,getThemeColorsFromBase_; loadDashboardConfig_; logBestEffortWarning_,,,Private/helper,No static path,Low
applyCurrentVsOlderTabColors_,"ss, currentMonthParts",6056,6078,,extractFirstDateFromSheetName_; getSheetDefinitionByType_; getSheetTypeForOrganization_; getThemeColorsFromBase_; loadDashboardConfig_; logBestEffortWarning_,SpreadsheetApp,,Private/helper,No static path,Medium
organizeSheetTabs_,,6079,6082,,enforceGlobalSheetSortOrder_; getMonthDateParts_,,,Private/helper,No static path,Low
formatDateColumnsByHeader_,"sheet, headerRow, dataStartRow",6083,6101,,isDateLikeHeader_; logBestEffortWarning_,,,Private/helper,No static path,Low
rowObjectFromHeaders_,"headers, row",6102,6110,,,,,Private/helper,No static path,Low
getLiveDashboardAuditStatus_,,6111,6115,appendCombinedDashboardSignOffRows_,getLiveSheetStatus_,,,Private/helper,Reachable,Low
getLiveTemplateValidationStatus_,,6116,6119,appendCombinedDashboardSignOffRows_,getLiveSheetStatus_,,,Private/helper,Reachable,Low
getLiveFrameworkHealthStatus_,,6120,6123,appendCombinedDashboardSignOffRows_,getLiveSheetStatus_,,,Private/helper,Reachable,Low
getLiveSheetStatus_,"sheetName, label",6124,6129,getLiveDashboardAuditStatus_; getLiveFrameworkHealthStatus_; getLiveTemplateValidationStatus_,,SpreadsheetApp,,Private/helper,Reachable,Medium
setMonthlySheetNameFast_,"sheet, targetName",6130,6135,,,,,Private/helper,No static path,Low
writePMRContactsToParticipantRows_,"targetSheet, values, headers, headerMap, pmrFilter",6136,6291,processBlankContactSummariesOnDemoP_; runMasterContactProcessData_,buildParticipantContactKey_; capitalizeContactPart_; formatRankedContact_; getPMRIndex_; isExpiredContactPhoneDate_; normalizeCompareValue_; normalizePMR_; shouldProcessRowByPMR_,,setValues; sort,Private/helper,Reachable,High
buildParticipantContactKey_,"row, headerMap, pmrIdx, firstIdx, lastIdx",6292,6300,writePMRContactsToParticipantRows_,normalizeKeyPart_; normalizePMR_,,,Private/helper,Reachable,Low
isExpiredContactPhoneDate_,value,6301,6307,writePMRContactsToParticipantRows_,coerceToValidDate_; getTodayLocalDate_,,,Private/helper,Reachable,Low
capitalizeContactPart_,value,6308,6314,writePMRContactsToParticipantRows_,,,,Private/helper,Reachable,Low
formatRankedContact_,contact,6315,6330,writePMRContactsToParticipantRows_,,,,Private/helper,Reachable,Low
getMostRecentDateFromRowsByHeader_,"rows, headerMap, headerName",6331,6342,compareRawDemoPForSectionReport_,coerceToValidDate_,,,Private/helper,Reachable,Low
isDateInStrictLocalRangeInclusive_,"dateVal, startDate, endDate",6343,6353,buildMonthlyChangeSectionRows_; isDateDisplayInReportWindow_,coerceToValidDate_; createLocalDateOnly_,,,Private/helper,Reachable,Low
isDateDisplayInReportWindow_,"dateVal, startDate, endDate",6354,6357,,isDateInStrictLocalRangeInclusive_,,,Private/helper,No static path,Low
isParticipantEnrollmentStatusDisenrolled_,"rows, headerMap",6358,6367,compareRawDemoPForSectionReport_,,,,Private/helper,Reachable,Low
getSheetTypeForOrganization_,sheetName,6368,6381,applyCurrentVsOlderTabColors_; applyDashboardSortOrderAlternatingColors_; applyStandardFormatting_; resolveSheetDefinitionForLayoutSnapshot_,,,,Private/helper,Reachable,Low
collectFrameworkHealthCheckRows_,,6382,6393,runFrameworkHealthCheck; runFrameworkSmokeValidation,appendRequiredFunctionChecks_; collectFrameworkSmokeValidationRows_; getRequiredDashboardFunctionNames_; getRequiredHelperFunctionNames_; getRequiredMenuFunctionNames_; getRequiredTemplateFunctionNames_; getRequiredTimingFunctionNames_; getRequiredValidationFunctionNames_,,,Private/helper,Reachable,Low
collectWorkflowSyncVerificationRows_,,6394,6401,runDashboardQualityWorkflowSyncVerification_,,,,Private/helper,Reachable,Low
runFrameworkSmokeValidation,,6402,6417,quickSystemSetup; setupSystemSheets,collectFrameworkHealthCheckRows_; notify_; writeFrameworkHealthCheckReport_,,,Public,Reachable,Low
collectFrameworkSmokeValidationRows_,,6418,6461,collectFrameworkHealthCheckRows_,appendFrameworkSmokeValidationRow_; buildContactCompareMap_; deleteRowNumberBatches_; forceSheetRowCount_; functionSourceContainsAll_,,,Private/helper,Reachable,Low
appendFrameworkSmokeValidationRow_,"rows, item, passed, notes",6462,6465,collectFrameworkSmokeValidationRows_,,,,Private/helper,Reachable,Low
functionSourceContainsAll_,"fn, tokens",6466,6472,collectFrameworkSmokeValidationRows_,,,,Private/helper,Reachable,Low
runDashboardQualityMasterListHealthCheck_,,6473,6481,,saveDashboardQualitySectionRows_,,,Private/helper,No static path,Low
buildCombinedFrameworkTestDashboardRows_,,6482,6492,buildCombinedFrameworkTestDashboard,,,,Private/helper,Reachable,Low
applyDashboardTemplateFormattingToActiveReportSheet_,"targetSheet, dashboard, sheetDef, headers, behavior, monthParts, endDate, statusText, timing",6493,6503,applyDemoPTemplateToSheet_; createDisenrolledExclusionSheetFromDashboardTemplate_,applyTemplateBaseFormatting_; applyTemplateFreezeAndTabColor_; getBehaviorForSheetType_; getHeadersForSheetType_; resizeSheetGrid_; resolveTemplateRowCount_,,,Private/helper,Reachable,Low
applyDashboardSortOrderAlternatingColors_,sheet,6504,6544,applyFinalMasterListColorAndDisplay_; applySortOrderDisplayForMasterList_; assignSortOrderAndHideExtraRows,getHeaders_; getSheetDefinitionByType_; getSheetTypeForOrganization_; getThemeColorsFromBase_; loadDashboardConfig_,SpreadsheetApp,,Private/helper,Reachable,Medium
ensureStandardTitleRows_,sheet,6545,6563,processDemoP; updateExistingDemoPFromRawData_,getMonthDateParts_; getMonthPartsFromTitleRows_,,setValue,Private/helper,Reachable,High
isDateLikeHeader_,header,6564,6572,applyGovernedTextAndNumberFormats_; formatDateColumnsByHeader_,normalizeHeader_,,,Private/helper,Reachable,Low
buildMonthlySheetNameNoDashAfterPrefix_,"prefix, firstDay, lastDay",6573,6576,createIndexSheet; organizeWorkbookTabs_,buildStandardMonthlySheetName_,,,Private/helper,Reachable,Low
formatReportDateLabel_,date,6577,6583,formatBannerReport,,,,Private/helper,Reachable,Low
buildBannerReportOutputName_,date,6584,6588,formatBannerReport; formatMonthlyBannerSheet_,,Session; Utilities,,Private/helper,Reachable,Medium
renameSheetSafely_,"ss, sheet, targetName",6589,6602,,deleteSheetIfExists_,,,Private/helper,No static path,Low
