Function name,Start line,End line,Function type,Primary responsibility,Module or logical ownership,Functions called,Functions calling it (determinable),Dependencies,External services used,Sheets accessed,Configuration objects referenced,Dashboard components referenced,Read operations,Write operations,Destructive operations,Trigger usage,Error handling,Logging,Complexity assessment
shouldProcessRowByPMR_,8650,8673,Internal/private,Implement should process row by pmr,Shared framework utilities,getDOBIndex_; getPMRIndex_; isPrimaryPMRRowValue_; normalizeCompareValue_; normalizePMR_,combineAddressesData_; combineNotesSummaryData_; handleLanguageData_; populateDemoPNameData_; populateParticipantNameData_; splitPhoneNumbersData_; syncRowsFromSourceMapData_; syncRowsFromSourceMap_; updateBannerColumnData_; writePMRContactsToParticipantRows_,getDOBIndex_; getPMRIndex_; isPrimaryPMRRowValue_; normalizeCompareValue_; normalizePMR_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 24, branches 5)"
normalizeSyncFieldPairs_,8675,8680,Internal/private; Utility,Implement normalize sync field pairs,Shared framework utilities,None detected,syncRowsFromSourceMapData_; syncRowsFromSourceMap_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 6, branches 1)"
syncMasterListFromUnlockedCarePlan_,8683,8717,Process function; Internal/private; Utility,Synchronize master list from unlocked care plan,Master List,buildSourceMapBySingleKeyForPart5_; getCurrentUnlockedCarePlanSheet_; notify_; syncRowsFromSourceMap_,No static caller detected,DATA_START_ROW; HEADER_ROW; buildSourceMapBySingleKeyForPart5_; getCurrentUnlockedCarePlanSheet_; notify_; syncRowsFromSourceMap_,SpreadsheetApp,Care Plan Start Date; Unlocked Care Plan Report was not found. Unlocked sync skipped.,DATA_START_ROW; HEADER_ROW,None detected,getActiveSpreadsheet(),None detected,None detected,None detected,None explicit,notify_,"Low (LOC 35, branches 1)"
syncMasterListFromCarePlanDue_,8719,8751,Process function; Internal/private; Utility,Synchronize master list from care plan due,Master List,buildSourceMapByCompositeKeyForPart5_; getCurrentCarePlanDueSheet_; notify_; syncRowsFromSourceMap_,No static caller detected,DATA_START_ROW; HEADER_ROW; buildSourceMapByCompositeKeyForPart5_; getCurrentCarePlanDueSheet_; notify_; syncRowsFromSourceMap_,None detected,Care Plan Due Report was not found. Care Plan Due sync skipped.; Last Care Plan; Next Care Plan Due,DATA_START_ROW; HEADER_ROW,None detected,None detected,None detected,None detected,None detected,None explicit,notify_,"Low (LOC 33, branches 1)"
syncRowsFromSourceMap_,8753,8802,Process function; Internal/private; Utility,Synchronize rows from source map,Shared framework utilities,getDataValues_; normalizeKeyPart_; normalizeSyncFieldPairs_; shouldProcessRowByPMR_,syncMasterListFromCarePlanDue_; syncMasterListFromUnlockedCarePlan_,DATA_START_ROW; HEADER_ROW; getDataValues_; normalizeKeyPart_; normalizeSyncFieldPairs_; shouldProcessRowByPMR_,None detected,None detected,DATA_START_ROW; HEADER_ROW,None detected,None detected,setValues(),None detected,None detected,None explicit,None detected,"Low (LOC 50, branches 7)"
buildDemoPFromScratch,8918,8941,Menu function; Public entry point; Workflow function; Process function,Build demo pfrom scratch,Demo P,createActiveDemoPFromRawData_; enforceDemoPPostFlattenFormatting_; getValidatedRawDataSheetForDemoPBuild_; markRuntimeStep_; notifyErrorWithTiming_; notify_; promptForLockedYearReportMonth_; refreshIndexAfterSheetWorkflow_; startRuntimeTiming_; writeRuntimeTimingReport_,No static caller detected,DATA_START_ROW; DEMO_P_PREFIX; createActiveDemoPFromRawData_; enforceDemoPPostFlattenFormatting_; getValidatedRawDataSheetForDemoPBuild_; markRuntimeStep_; notifyErrorWithTiming_; notify_; promptForLockedYearReportMonth_; refreshIndexAfterSheetWorkflow_; startRuntimeTiming_; writeRuntimeTimingReport_,None detected,Build Demo P; Build Demo P (Initialization); Build Demo P (Initialization) complete. Flat primary records retained: ; Build Demo P (Initialization) stopped: ; Demo P in-memory flat-record contact compression complete | Rows retained: ; Locate validated Raw Data source for Demo P initialization: ; DEMO_P_PREFIX,DATA_START_ROW; DEMO_P_PREFIX,None detected,getLastRow(),None detected,None detected,None detected,try/catch,markRuntimeStep_; writeRuntimeTimingReport_; notify_; notifyErrorWithTiming_,"Low (LOC 24, branches 3)"
getValidatedRawDataSheetForDemoPBuild_,8943,8965,Validator; Internal/private; Utility,Resolve or return validated raw data sheet for demo pbuild,Demo P,getCurrentRawDataSheet_; isStrictRawDataSheetCandidateForDemoP_; markRuntimeStep_; validateRawDataPreflightForDemoP_,buildDemoPFromScratch,getCurrentRawDataSheet_; isStrictRawDataSheetCandidateForDemoP_; markRuntimeStep_; validateRawDataPreflightForDemoP_,SpreadsheetApp,Build Demo P active-sheet Raw Data preflight; Build Demo P current Raw Data preflight; Raw Data sheet was not found for the selected month. Format Raw Data first. ; Validated active sheet as Raw Data fallback for Demo P build: ; Validated current Raw Data sheet for Demo P build: ,None detected,None detected,getActiveSheet(); getActiveSpreadsheet(),None detected,None detected,None detected,throws errors,markRuntimeStep_,"Low (LOC 23, branches 7)"
isStrictRawDataSheetCandidateForDemoP_,8967,8975,Internal/private; Utility,Boolean test for strict raw data sheet candidate for demo p,Demo P,buildRawDataSheetName_,getValidatedRawDataSheetForDemoPBuild_,buildRawDataSheetName_,None detected,Template - Raw Data,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 9, branches 4)"
updateDemoPMonthlySync,8977,8993,Menu function; Public entry point; Workflow function; Process function,Implement update demo pmonthly sync,Demo P,markRuntimeStep_; notify_; promptForLockedYearReportMonth_; startRuntimeTiming_; updateDemoPMonthlySyncForMonth_; writeRuntimeTimingReport_,No static caller detected,markRuntimeStep_; notify_; promptForLockedYearReportMonth_; startRuntimeTiming_; updateDemoPMonthlySyncForMonth_; writeRuntimeTimingReport_,None detected," + (demoSheet ? ;  + (demoSheet ? demoSheet.getName() : ;  + demoSheet.getName() : ;  });
    markRuntimeStep_(timing, ; ));
    return demoSheet;
  } catch (err) {
    markRuntimeStep_(timing, ; ));
    writeRuntimeTimingReport_(timing);
    notify_(; Update Demo P (Monthly Change Sync)",None detected,None detected,None detected,None detected,None detected,None detected,try/catch,markRuntimeStep_; writeRuntimeTimingReport_; notify_,"Low (LOC 17, branches 4)"
buildDemoPMonthlySyncRetainedRows_,8996,9023,Process function; Internal/private,Build demo pmonthly sync retained rows,Demo P,getPMRIndex_; isPrimaryPMRRowValue_; normalizePMR_; normalizeRowToWidth_,updateDemoPMonthlySyncForMonth_,getPMRIndex_; isPrimaryPMRRowValue_; normalizePMR_; normalizeRowToWidth_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 28, branches 5)"
validateDemoPMonthlySyncReplacementCoverage_,9025,9044,Validator; Internal/private,Validate demo pmonthly sync replacement coverage,Demo P,buildHeaderIndexMap_; getPMRIndex_; normalizePMR_,updateDemoPMonthlySyncForMonth_,buildHeaderIndexMap_; getPMRIndex_; normalizePMR_,None detected,Demo P monthly sync replacement validation requires Participant PMR# / PMR # column.,None detected,None detected,None detected,None detected,None detected,None detected,throws errors,None detected,"Low (LOC 20, branches 6)"
appendDemoPArchiveRows_,9046,9102,Process function; Internal/private,Implement append demo parchive rows,Demo P,buildHeaderIndexMap_; clearSheetRuntimeCachesForSheet_; getHeaders_; getOrCreateDemoPArchiveSheet_; getPMRIndex_; hideSheetIfNeeded_; markFrameworkStep_; setArchiveValue_,updateDemoPMonthlySyncForMonth_,DATA_START_ROW; HEADER_ROW; buildHeaderIndexMap_; clearSheetRuntimeCachesForSheet_; getHeaders_; getOrCreateDemoPArchiveSheet_; getPMRIndex_; hideSheetIfNeeded_; markFrameworkStep_; setArchiveValue_,SpreadsheetApp," - archive sheet hidden after write; );
    setArchiveValue_(output, archiveHeaderMap, ; , meta.sourceSheet || ; , now);
    setArchiveValue_(output, archiveHeaderMap, ; ; Archive columns: ; Demo P archive detail; archive column capacity already sufficient | Columns: ; archive column capacity expanded | Columns: ; archive header maps built | Source columns: ; archive headers read | Columns: ; archive payload built | Rows: ; archive row capacity already sufficient | Insert start row: ; archive row capacity expanded | Insert start row: ; archive runtime caches cleared; archive sheet ready: ; archive values written | Rows: ",DATA_START_ROW; HEADER_ROW,None detected,getActiveSpreadsheet(); getLastRow(); getMaxColumns(); getMaxRows(); getRange(),insertColumnsAfter(); insertRowsAfter(); setValues(),None detected,None detected,None explicit,markFrameworkStep_,"Low (LOC 57, branches 6)"
setArchiveValue_,9104,9106,Internal/private,Set archive value,Index/archive lifecycle,None detected,appendDemoPArchiveRows_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 3, branches 1)"
getOrCreateDemoPArchiveSheet_,9108,9144,Internal/private; Utility,Resolve or return or create demo parchive sheet,Demo P,ensureStandardTitleRows_; getDemoPArchiveHeaders_; hideSheetIfNeeded_; insertGovernedOutputSheet_; logBestEffortWarning_; markFrameworkStep_; placeCreatedSheetInConfiguredOrder_; setUniqueSheetName_,appendDemoPArchiveRows_,DEMO_P_TEMPLATE_SHEET; HEADER_ROW; ensureStandardTitleRows_; getDemoPArchiveHeaders_; hideSheetIfNeeded_; insertGovernedOutputSheet_; logBestEffortWarning_; markFrameworkStep_; placeCreatedSheetInConfiguredOrder_; setUniqueSheetName_,None detected, - sheet readiness - ;  - sheet readiness - archive sheet hidden; Archive - Demo P frozen rows skipped: ; Archive sheet will be created; Demo P archive detail; Existing archive sheet found; No Demo P template found; archive columns already sufficient | Columns: ; archive columns expanded | Columns: ; archive frozen rows ensured; archive sheet named and placed in configured creation order; archive title/header rows written; blank archive sheet inserted in configured creation order; template copied for archive sheet; template lookup complete; DEMO_P_ARCHIVE_SHEET; DEMO_P_TEMPLATE_SHEET,DEMO_P_TEMPLATE_SHEET; HEADER_ROW,None detected,getMaxColumns(); getRange(); getSheetByName(),copyTo(); insertColumnsAfter(); setFrozenRows(); setValue(); setValues(),None detected,None detected,try/catch,markFrameworkStep_; logBestEffortWarning_,"Low (LOC 37, branches 8)"
getDemoPArchiveHeaders_,9146,9153,Internal/private; Utility,Resolve or return demo parchive headers,Demo P,None detected,getOrCreateDemoPArchiveSheet_,None detected,None detected,Archive Reason; Archived At; Source Sheet,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 8, branches 1)"
writeDemoPMonthlySyncBody_,9155,9172,Internal/private,Implement write demo pmonthly sync body,Demo P,ensureOutputSheetHasFormattedRows_; normalizeRowsToWidth_,updateDemoPMonthlySyncForMonth_,DATA_START_ROW; ensureOutputSheetHasFormattedRows_; normalizeRowsToWidth_,None detected,old Demo P body content cleared | Rows cleared: ; retained Demo P body write skipped - no rows; retained Demo P body written | Rows: ,DATA_START_ROW,None detected,getLastColumn(); getLastRow(); getRange(),setValues(),clearContent(),None detected,None explicit,None detected,"Low (LOC 18, branches 2)"
normalizeRowsToWidth_,9174,9178,Formatter; Internal/private; Utility,Implement normalize rows to width,Shared framework utilities,normalizeRowToWidth_,updateDemoPMonthlySyncForMonth_; writeDemoPDisenrollmentRetainedBody_; writeDemoPMonthlySyncBody_,normalizeRowToWidth_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 5, branches 0)"
normalizeRowToWidth_,9180,9184,Formatter; Internal/private; Utility,Implement normalize row to width,Shared framework utilities,None detected,buildDemoPMonthlySyncRetainedRows_; moveDisenrolledPMRsFromDemoPToExclusion_; normalizeRowsToWidth_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 5, branches 1)"
updateDemoPReportDates_,9186,9195,Process function; Internal/private,Implement update demo preport dates,Demo P,None detected,createActiveDemoPFromRawData_; updateDemoPMonthlySyncForMonth_,None detected,None detected,None detected,None detected,None detected,getRange(),setFontSize(); setHorizontalAlignment(); setNumberFormat(); setValue(),None detected,None detected,None explicit,None detected,"Low (LOC 10, branches 1)"
enforceDemoPPostFlattenFormatting_,9197,9214,Formatter; Internal/private,Implement enforce demo ppost flatten formatting,Demo P,applyTemplateColumnWidths_; getTemplateDrivenActiveSheetContext_; lockFinalOutputRowHeights_; sortSheetAlphabeticallyByParticipantName_,buildDemoPFromScratch; updateDemoPMonthlySyncForMonth_,DATA_START_ROW; SHEET_TYPE; applyTemplateColumnWidths_; getTemplateDrivenActiveSheetContext_; lockFinalOutputRowHeights_; sortSheetAlphabeticallyByParticipantName_,SpreadsheetApp,Demo P; DEMO_P; SHEET_TYPE,DATA_START_ROW; SHEET_TYPE,None detected,getLastColumn(); getLastRow(); getRange(),setWrapStrategy(),None detected,None detected,None explicit,None detected,"Low (LOC 18, branches 3)"
sortSheetAlphabeticallyByParticipantName_,9216,9236,Internal/private,Implement sort sheet alphabetically by participant name,Sheet utilities,buildHeaderIndexMap_; getHeaders_,assignSortOrderAndHideExtraRows; enforceDemoPPostFlattenFormatting_,DATA_START_ROW; HEADER_ROW; buildHeaderIndexMap_; getHeaders_,None detected,None detected,DATA_START_ROW; HEADER_ROW,None detected,getLastColumn(); getLastRow(); getRange(),None detected,None detected,None detected,None explicit,None detected,"Low (LOC 21, branches 5)"
getDemoPMonthlySyncChangedPMRs_,9238,9268,Internal/private; Utility,Resolve or return demo pmonthly sync changed pmrs,Demo P,getDataValues_; getMonthlySheetByPrefixAndDate_; getPMRIndex_; isPMRHeaderValue_; markRuntimeStep_; normalizePMR_,updateDemoPMonthlySyncForMonth_,DATA_START_ROW; HEADER_ROW; MONTHLY_CHANGE_REPORT_PREFIX; getDataValues_; getMonthlySheetByPrefixAndDate_; getPMRIndex_; isPMRHeaderValue_; markRuntimeStep_; normalizePMR_,SpreadsheetApp,Monthly Change Report is missing Participant PMR# / PMR # column.; Skipped Monthly Change header rows while loading Demo P sync PMRs | Rows: ; MONTHLY_CHANGE_REPORT_PREFIX,DATA_START_ROW; HEADER_ROW; MONTHLY_CHANGE_REPORT_PREFIX,None detected,getActiveSpreadsheet(),None detected,None detected,None detected,throws errors,markRuntimeStep_,"Low (LOC 31, branches 6)"
isPMRHeaderValue_,9270,9277,Internal/private; Utility,Boolean test for pmrheader value,Header/schema utilities,normalizeHeader_; normalizePMR_,getDemoPMonthlySyncChangedPMRs_,normalizeHeader_; normalizePMR_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 8, branches 1)"
removeActiveDemoPPMRsFromDisenrolledExclusion_,9280,9337,Internal/private; Utility,Implement remove active demo ppmrs from disenrolled exclusion,Demo P,buildHeaderIndexMap_; clearSheetRuntimeCachesForSheet_; deleteRowNumberBatches_; findHeaderIndex_; getDataValues_; getHeaders_; getPMRIndex_; logBestEffortWarning_; normalizeCompareValue_; normalizePMR_,updateDemoPMonthlySyncForMonth_,DATA_START_ROW; HEADER_ROW; buildHeaderIndexMap_; clearSheetRuntimeCachesForSheet_; deleteRowNumberBatches_; findHeaderIndex_; getDataValues_; getHeaders_; getPMRIndex_; logBestEffortWarning_; normalizeCompareValue_; normalizePMR_,SpreadsheetApp, active Demo P PMR rows from Disenrolled Exclusion.; DISENROLLED_EXCLUSION_SHEET,DATA_START_ROW; HEADER_ROW,None detected,getActiveSpreadsheet(); getLastColumn(); getLastRow(); getRange(); getSheetByName(); getValues(),None detected,None detected,None detected,None explicit,logBestEffortWarning_,"Low (LOC 58, branches 14)"
buildDemoPFreshRowsForPMRs_,9340,9361,Process function; Internal/private,Build demo pfresh rows for pmrs,Demo P,buildHeaderIndexMap_; flattenDemoPContactRowsInMemory_; mapRowsToHeaders_; markRuntimeStep_; normalizePMR_; populateDemoPUpdateColumns_; populateUniversalMetadataColumns_; processDemoPFreshRowsInMemory_; validateRawDataPreflightForDemoP_,updateDemoPMonthlySyncForMonth_,buildHeaderIndexMap_; flattenDemoPContactRowsInMemory_; mapRowsToHeaders_; markRuntimeStep_; normalizePMR_; populateDemoPUpdateColumns_; populateUniversalMetadataColumns_; processDemoPFreshRowsInMemory_; validateRawDataPreflightForDemoP_,None detected,Changed Demo P rows processed and flattened from Raw Data in memory | Rows retained: ; Demo P; Update Demo P monthly sync Raw Data preflight,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,markRuntimeStep_,"Low (LOC 22, branches 1)"
processDemoPFreshRowsInMemory_,9363,9372,Process function; Internal/private,Implement process demo pfresh rows in memory,Demo P,combineAddressesData_; combineNotesSummaryData_; handleLanguageData_; populateDemoPNameData_; populateParticipantNameData_; runMasterContactProcessData_; splitPhoneNumbersData_; updateBannerColumnData_,buildDemoPFreshRowsForPMRs_,combineAddressesData_; combineNotesSummaryData_; handleLanguageData_; populateDemoPNameData_; populateParticipantNameData_; runMasterContactProcessData_; splitPhoneNumbersData_; updateBannerColumnData_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 10, branches 0)"
flattenDemoPContactRowsInMemory_,9374,9426,Internal/private,Implement flatten demo pcontact rows in memory,Demo P,buildDemoPContactSummaryForFlatRecord_; buildHeaderIndexMap_; getPMRIndex_; isPrimaryPMRRowValue_; normalizeCompareValue_; normalizePMR_; sortDemoPFlatRows_,buildDemoPFreshRowsForPMRs_; createActiveDemoPFromRawData_,buildDemoPContactSummaryForFlatRecord_; buildHeaderIndexMap_; getPMRIndex_; isPrimaryPMRRowValue_; normalizeCompareValue_; normalizePMR_; sortDemoPFlatRows_,None detected,Demo P in-memory flat-record compression requires PMR and Primary PMR Row headers.,None detected,None detected,None detected,None detected,None detected,None detected,throws errors,None detected,"Low (LOC 53, branches 9)"
buildDemoPContactSummaryForFlatRecord_,9428,9445,Process function; Internal/private,Build demo pcontact summary for flat record,Demo P,None detected,flattenDemoPContactRowsInMemory_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 18, branches 1)"
sortDemoPFlatRows_,9447,9459,Internal/private,Implement sort demo pflat rows,Demo P,None detected,flattenDemoPContactRowsInMemory_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 13, branches 7)"
processDemoP,9461,9540,Public entry point; Process function,Implement process demo p,Demo P,applyDemoPTemplateToSheet_; clearSheetRuntimeCachesForSheet_; ensureStandardTitleRows_; getOrCreateDemoPProcessingSheet_; lockFinalOutputRowHeights_; markRuntimeStep_; notifyErrorWithTiming_; notify_; placeCreatedSheetInConfiguredOrder_; processDemoPAsWorkingSource_; promptForLockedYearReportMonth_; setUniqueSheetName_; startRuntimeTiming_; trimExcessRows_; writeRuntimeTimingReport_,formatDemoPStructure,DEMO_P_PREFIX; applyDemoPTemplateToSheet_; clearSheetRuntimeCachesForSheet_; ensureStandardTitleRows_; getOrCreateDemoPProcessingSheet_; lockFinalOutputRowHeights_; markRuntimeStep_; notifyErrorWithTiming_; notify_; placeCreatedSheetInConfiguredOrder_; processDemoPAsWorkingSource_; promptForLockedYearReportMonth_; setUniqueSheetName_; startRuntimeTiming_; trimExcessRows_; writeRuntimeTimingReport_,None detected,"Apply Demo P dashboard template formatting; Apply Demo P dashboard template formatting skipped - template copy already formatted; Care Plan Due and Unlocked Care Plan remain Master List sync functions.\n; Contact, phone, address, language, notes, banner, and Primary PMR fields were processed on Demo P.\n; Demo P; Demo P Working Source processing skipped - already completed in optimized Raw Data single-pass build; Demo P contains all Raw Data rows, including disenrolled participants.\n; Demo P processed as the working source.\n; Demo P strict header verification skipped - dashboard schema mapping already applied in memory; Demo P working-source processing complete; disenrolled rows retained for Disenrolled List workflow; Disenrolled PMRs excluded from Demo P: ; Disenrolled primary rows copied to exclusion list: ; Lock Demo P final row heights; Maintain ongoing Demo P sheet name and place behind Index; Master List can now be created from Primary PMR rows only.; Prepare Demo P title/header rows; Process Demo P; Process Demo P stopped: ; Raw Data preserved when source sheet was Raw Data.\n; Trim Demo P excess blank rows; DEMO_P_PREFIX",DEMO_P_PREFIX,Apply Demo P dashboard template formatting; Apply Demo P dashboard template formatting skipped - template copy already formatted; Demo P strict header verification skipped - dashboard schema mapping already applied in memory,None detected,None detected,None detected,None detected,try/catch,markRuntimeStep_; writeRuntimeTimingReport_; notify_; notifyErrorWithTiming_,"Medium (LOC 80, branches 8)"
processDemoPAsWorkingSource_,9542,9588,Process function; Internal/private,Implement process demo pas working source,Demo P,clearSheetRuntimeCachesForSheet_; combineAddressesData_; combineNotesSummaryData_; getDataValues_; handleLanguageData_; markRuntimeStep_; populateDemoPNameData_; populateDemoPUpdateColumns_; populateParticipantNameData_; populateUniversalMetadataColumns_; runMasterContactProcessData_; splitPhoneNumbersData_; updateBannerColumnData_,processDemoP,DATA_START_ROW; HEADER_ROW; clearSheetRuntimeCachesForSheet_; combineAddressesData_; combineNotesSummaryData_; getDataValues_; handleLanguageData_; markRuntimeStep_; populateDemoPNameData_; populateDemoPUpdateColumns_; populateParticipantNameData_; populateUniversalMetadataColumns_; runMasterContactProcessData_; splitPhoneNumbersData_; updateBannerColumnData_,None detected,Demo P; Demo P Working Source - build Banner Summary before contact processing; Demo P Working Source - combine Notes Summary; Demo P Working Source - combine address fields; Demo P Working Source - populate Demo P metadata and PMR source hashes; Demo P Working Source - populate Participant and Name columns; Demo P Working Source - process contacts; Demo P Working Source - process language fields; Demo P Working Source - read Demo P data range once; Demo P Working Source - single-pass write processed finalized Demo P data; Demo P Working Source - split phone fields; Demo P Working Source - strict header verification skipped; dashboard schema mapping already applied,DATA_START_ROW; HEADER_ROW,Demo P Working Source - strict header verification skipped; dashboard schema mapping already applied,None detected,setValues(),None detected,None detected,None explicit,markRuntimeStep_,"Low (LOC 47, branches 2)"
assignPrimaryPMRRowsInData_,9590,9609,Internal/private,Implement assign primary pmrrows in data,Shared framework utilities,assignPrimaryRowForBlock_; buildParticipantBlocksForSortOrder_; getPMRIndex_; normalizePMR_,assignPrimaryPMRRows_; processRawDataApprovedSyncColumns_,assignPrimaryRowForBlock_; buildParticipantBlocksForSortOrder_; getPMRIndex_; normalizePMR_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 20, branches 3)"
formatDemoPStructure,9611,9613,Public entry point; Formatter,Format demo pstructure,Demo P,processDemoP,No static caller detected,processDemoP,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 3, branches 0)"
buildRawDataSheetName_,9615,9617,Process function; Internal/private,Build raw data sheet name,Raw Data,None detected,formatRawDataInPlaceSheet_; getOrCreateDemoPProcessingSheet_; isStrictRawDataSheetCandidateForDemoP_,None detected,Session; Utilities,Raw Data ,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 3, branches 0)"
getOrCreateDemoPProcessingSheet_,9619,9692,Internal/private; Utility,Resolve or return or create demo pprocessing sheet,Demo P,buildRawDataSheetName_; clearSheetRuntimeCachesForSheet_; createActiveDemoPFromRawData_; getLastRawDataDisenrolledBuildResult_; markRuntimeStep_; updateExistingDemoPFromRawData_,processDemoP,DEMO_P_PREFIX; buildRawDataSheetName_; clearSheetRuntimeCachesForSheet_; createActiveDemoPFromRawData_; getLastRawDataDisenrolledBuildResult_; markRuntimeStep_; updateExistingDemoPFromRawData_,SpreadsheetApp; Session; Utilities,. Run Format Raw Data first.; Active-only processed Demo P built from protected Raw Data: ; Existing Demo P sheet updated from protected Raw Data: ; Raw Data sheet was not found for ; Using active Demo P sheet: ; demo p; raw data; DEMO_P_PREFIX,DEMO_P_PREFIX,None detected,getActiveSheet(); getActiveSpreadsheet(); getSheetByName(),None detected,None detected,None detected,throws errors,markRuntimeStep_,"Medium (LOC 74, branches 8)"
getLastRawDataDisenrolledBuildResult_,9694,9700,Internal/private; Utility,Resolve or return last raw data disenrolled build result,Disenrolled Exclusion,None detected,getOrCreateDemoPProcessingSheet_,None detected,None detected,ML_LAST_RAW_DATA_DISENROLLED_BUILD_RESULT_,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 7, branches 0)"
setLastRawDataDisenrolledBuildResult_,9702,9707,Internal/private; Utility,Set last raw data disenrolled build result,Disenrolled Exclusion,None detected,createActiveDemoPFromRawData_; createDisenrolledListForMonth_; updateExistingDemoPFromRawData_,None detected,None detected,ML_LAST_RAW_DATA_DISENROLLED_BUILD_RESULT_,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 6, branches 0)"
updateExistingDemoPFromRawData_,9709,9762,Process function; Internal/private; Utility,Implement update existing demo pfrom raw data,Demo P,buildHeaderIndexMap_; clearSheetRuntimeCachesForSheet_; ensureOutputSheetHasFormattedRows_; ensureStandardTitleRows_; getTemplateDrivenActiveSheetContext_; mapRowsToHeaders_; markRuntimeStep_; populateDemoPUpdateColumns_; populateUniversalMetadataColumns_; setLastRawDataDisenrolledBuildResult_; validateRawDataPreflightForDemoP_,getOrCreateDemoPProcessingSheet_,DATA_START_ROW; HEADER_ROW; SHEET_TYPE; buildHeaderIndexMap_; clearSheetRuntimeCachesForSheet_; ensureOutputSheetHasFormattedRows_; ensureStandardTitleRows_; getTemplateDrivenActiveSheetContext_; mapRowsToHeaders_; markRuntimeStep_; populateDemoPUpdateColumns_; populateUniversalMetadataColumns_; setLastRawDataDisenrolledBuildResult_; validateRawDataPreflightForDemoP_,SpreadsheetApp,; Write Mode: existing sheet update; Demo P; Demo P Working Source - update existing Demo P from Raw Data | Rows Read: ; Update existing Demo P from Raw Data; DEMO_P; SHEET_TYPE,DATA_START_ROW; HEADER_ROW; SHEET_TYPE,None detected,getActiveSpreadsheet(); getLastColumn(); getLastRow(); getRange(),setValue(); setValues(),clearContent(),None detected,None explicit,markRuntimeStep_,"Low (LOC 54, branches 2)"
